Customer ID,Segment,Region,Acquisition Date,Lifetime Revenue,Orders,Churn Risk Score
CUS-0104,Basic,West,2023-10-01,1370.88,1,19.4
CUS-0105,Premium,East,2023-05-03,278.59,2,64.6
CUS-0106,Basic,South,2023-01-15,212.21,21,58.1
CUS-0107,Standard,North,2023-04-19,606.45,33,42.5
CUS-0108,Standard,North,2023-11-09,202.12,15,64.5
CUS-0109,Premium,South,2024-08-10,534.92,24,84.7
CUS-0110,Premium,East,2023-11-16,708.72,24,12.0
CUS-0111,Standard,West,2024-08-12,874.84,30,67.6
CUS-0112,Standard,South,2024-03-22,903.36,35,41.0
CUS-0113,Standard,East,2023-02-18,329.42,23,67.4
CUS-0114,Standard,East,2023-08-03,708.75,31,87.5
CUS-0115,Premium,North,2023-12-15,2105.89,24,65.3
CUS-0116,Standard,West,2023-02-14,100.75,13,16.0
CUS-0117,Basic,South,2023-01-12,891.7,23,41.6
CUS-0118,Standard,North,2023-07-29,230.33,29,54.9
CUS-0119,Premium,South,2024-06-20,2353.14,35,12.7
CUS-0120,Basic,North,2023-12-28,1387.57,4,64.4
CUS-0121,Premium,East,2023-11-10,1348.34,14,71.3
CUS-0122,Basic,North,2023-11-23,308.57,5,76.3
CUS-0123,Standard,East,2023-11-24,843.4,7,12.0
CUS-0124,Basic,East,2024-05-23,932.31,9,70.5
CUS-0125,Premium,South,2023-07-11,78.72,36,36.6
CUS-0126,Basic,East,2023-06-12,758.89,16,21.1
CUS-0127,Basic,North,2023-06-19,1155.1,36,52.4
CUS-0128,Premium,West,2023-12-08,186.3,20,57.3
CUS-0129,Premium,North,2023-06-10,1143.43,1,45.7
CUS-0130,Basic,West,2024-08-08,727.55,16,84.1
CUS-0131,Standard,West,2024-02-18,2305.7,29,15.6
CUS-0132,Standard,East,2023-07-08,458.61,25,40.7
CUS-0133,Premium,West,2023-06-06,780.46,15,26.7
CUS-0134,Premium,North,2023-09-19,904.28,5,4.9
CUS-0135,Basic,North,2024-05-30,53.15,30,33.9
CUS-0136,Premium,South,2024-08-19,483.42,21,71.8
CUS-0137,Premium,North,2023-11-16,718.86,31,52.3
CUS-0138,Premium,South,2023-03-28,79.77,11,41.9
CUS-0139,Basic,North,2023-01-26,1220.23,7,47.5
CUS-0140,Standard,South,2023-12-11,718.58,15,31.3
CUS-0141,Standard,East,2024-01-09,714.94,10,12.2
CUS-0142,Standard,East,2023-08-11,1272.92,20,59.0
CUS-0143,Standard,North,2024-06-17,459.55,20,81.5
CUS-0144,Premium,North,2023-01-28,691.58,6,78.9
CUS-0145,Standard,West,2023-07-04,1448.93,19,23.3
CUS-0146,Premium,South,2024-04-01,699.19,16,43.4
CUS-0147,Basic,West,2023-05-27,126.54,21,55.2
CUS-0148,Basic,East,2023-04-30,696.73,30,80.2
CUS-0149,Basic,North,2024-03-14,704.54,18,19.7
CUS-0150,Basic,East,2024-06-19,1495.95,11,13.2
CUS-0151,Premium,East,2023-04-21,488.38,36,93.2
CUS-0152,Basic,West,2023-09-08,275.84,30,14.6
CUS-0153,Standard,East,2024-08-07,276.66,38,98.9
CUS-0154,Basic,North,2023-03-28,2436.59,10,59.9
CUS-0155,Basic,West,2023-03-25,862.93,24,49.9
CUS-0156,Standard,South,2023-05-28,2327.11,30,18.9
CUS-0157,Standard,East,2023-10-15,2650.83,35,86.1
CUS-0158,Standard,West,2024-05-14,340.63,8,17.2
CUS-0159,Basic,South,2023-09-19,317.99,10,40.1
CUS-0160,Standard,North,2023-08-13,592.93,38,4.8
CUS-0161,Standard,West,2024-05-24,1156.28,23,2.3
CUS-0162,Basic,North,2023-06-03,188.4,6,73.0
CUS-0163,Premium,West,2023-08-08,1001.66,8,20.8
CUS-0164,Standard,South,2023-05-30,957.02,39,60.1
CUS-0165,Standard,North,2023-03-08,241.56,36,72.3
CUS-0166,Standard,West,2023-12-16,249.31,9,49.2
CUS-0167,Premium,East,2024-08-04,992.32,22,65.6
CUS-0168,Premium,North,2023-06-04,4297.17,28,24.1
CUS-0169,Standard,South,2023-02-13,510.11,18,81.8
CUS-0170,Standard,South,2024-07-15,894.96,12,20.6
CUS-0171,Basic,North,2023-03-05,385.87,28,59.1
CUS-0172,Basic,South,2023-01-30,822.9,4,83.6
CUS-0173,Standard,South,2024-03-18,378.86,9,79.3
CUS-0174,Premium,West,2023-04-04,526.87,1,5.1
CUS-0175,Basic,South,2024-08-20,6028.18,35,36.7
CUS-0176,Premium,East,2023-09-15,732.43,6,85.3
CUS-0177,Basic,South,2024-02-07,162.75,34,85.1
CUS-0178,Basic,South,2023-05-05,1186.26,16,63.6
CUS-0179,Basic,North,2023-05-08,1837.93,5,10.9
CUS-0180,Standard,South,2024-04-12,1221.64,23,40.4
CUS-0181,Premium,East,2023-11-02,567.31,13,96.1
CUS-0182,Standard,East,2024-07-03,291.31,19,10.7
CUS-0183,Standard,West,2024-07-06,297.82,39,80.1
CUS-0184,Standard,East,2023-12-27,560.73,25,41.8
CUS-0185,Standard,East,2024-04-13,478.12,1,74.5
CUS-0186,Standard,East,2024-05-27,402.46,4,5.4
CUS-0187,Standard,West,2023-12-16,1985.82,31,1.0
CUS-0188,Standard,North,2024-04-25,1523.93,27,30.1
CUS-0189,Standard,East,2023-01-16,2080.36,20,87.0
CUS-0190,Premium,West,2023-04-06,327.17,31,68.0
CUS-0191,Standard,North,2023-10-12,290.41,9,61.2
CUS-0192,Basic,East,2023-02-16,713.12,9,99.8
CUS-0193,Basic,West,2023-10-05,966.31,16,34.7
CUS-0194,Basic,South,2024-01-13,709.36,31,85.0
CUS-0195,Standard,West,2023-08-09,908.83,39,11.0
CUS-0196,Basic,East,2024-08-12,2769.85,10,17.1
CUS-0197,Standard,South,2024-06-07,546.45,25,47.8
CUS-0198,Basic,South,2024-05-14,1375.3,18,95.9
CUS-0199,Premium,South,2024-03-03,1060.15,35,70.3
CUS-0200,Basic,West,2024-01-05,724.72,32,11.3
CUS-0201,Premium,East,2024-02-01,1319.4,7,95.5
CUS-0202,Premium,West,2023-03-08,333.23,27,76.6
CUS-0203,Standard,South,2024-07-16,278.06,1,73.7
CUS-0204,Premium,South,2024-04-12,981.99,20,55.1
CUS-0205,Standard,East,2023-06-23,152.29,11,39.4
CUS-0206,Basic,East,2024-02-14,1054.04,15,11.0
CUS-0207,Standard,West,2023-09-06,240.96,13,62.0
CUS-0208,Basic,East,2024-07-14,2607.47,22,12.8
CUS-0209,Basic,East,2023-11-18,465.62,34,59.0
CUS-0210,Standard,West,2024-03-01,2459.98,21,54.0
CUS-0211,Basic,West,2023-04-24,550.19,34,59.7
CUS-0212,Premium,North,2023-03-04,529.44,38,82.7
CUS-0213,Premium,South,2024-06-24,1450.01,9,41.1
CUS-0214,Standard,North,2024-01-01,865.81,33,43.7
CUS-0215,Basic,North,2024-02-03,626.39,9,6.0
CUS-0216,Premium,South,2023-08-31,462.34,5,28.8
CUS-0217,Standard,North,2024-01-14,466.34,9,8.1
CUS-0218,Standard,South,2023-09-10,5551.28,17,14.2
CUS-0219,Basic,South,2024-01-17,147.27,7,42.7
CUS-0220,Basic,East,2024-01-15,225.37,23,40.7
CUS-0221,Premium,South,2023-05-13,1918.3,24,93.6
CUS-0222,Standard,East,2024-06-23,1793.06,28,11.9
CUS-0223,Standard,West,2024-07-21,289.96,36,14.9
CUS-0224,Basic,North,2024-03-31,137.39,7,75.1
CUS-0225,Premium,South,2023-01-13,2090.37,39,2.2
CUS-0226,Basic,South,2023-01-14,259.27,33,65.1
CUS-0227,Premium,West,2024-04-27,427.52,3,74.8
CUS-0228,Premium,West,2023-03-30,725.24,25,62.9
CUS-0229,Standard,West,2024-08-09,253.32,11,28.8
CUS-0230,Basic,West,2023-08-06,1528.42,3,10.4
CUS-0231,Basic,West,2023-04-16,677.79,27,99.4
CUS-0232,Standard,East,2024-02-15,300.72,3,85.9
CUS-0233,Basic,North,2024-02-16,325.53,7,73.1
CUS-0234,Standard,South,2024-01-16,2137.26,27,18.7
CUS-0235,Premium,North,2024-04-05,517.56,4,43.1
CUS-0236,Basic,East,2023-10-30,1156.35,30,71.0
CUS-0237,Premium,North,2023-07-08,659.19,2,10.1
CUS-0238,Basic,North,2023-09-16,137.13,13,95.7
CUS-0239,Basic,West,2024-01-13,1302.65,11,95.5
CUS-0240,Basic,East,2024-04-18,1748.41,7,15.0
CUS-0241,Standard,South,2023-09-17,3491.85,21,19.7
CUS-0242,Basic,North,2023-02-27,120.24,9,36.4
CUS-0243,Premium,East,2023-08-29,38.76,6,45.1
CUS-0244,Standard,West,2023-12-24,1182.25,16,44.1
CUS-0245,Standard,North,2024-04-09,387.85,20,68.8
CUS-0246,Standard,North,2024-04-30,183.64,25,47.0
CUS-0247,Standard,North,2024-04-18,732.73,4,18.4
CUS-0248,Premium,East,2023-06-13,443.91,8,26.1
CUS-0249,Premium,North,2023-01-14,210.91,2,41.1
CUS-0250,Standard,East,2023-05-02,617.38,31,51.9
CUS-0251,Basic,East,2023-03-13,1107.49,22,92.3
CUS-0252,Standard,East,2024-02-09,778.55,10,9.6
CUS-0253,Standard,North,2023-06-12,783.88,21,80.4
CUS-0254,Basic,South,2023-04-16,991.37,32,31.1
CUS-0255,Basic,South,2023-11-20,145.15,30,72.7
CUS-0256,Basic,North,2023-10-20,635.13,37,25.8
CUS-0257,Standard,South,2024-02-27,825.48,9,38.5
CUS-0258,Standard,East,2024-07-07,473.36,7,44.3
CUS-0259,Standard,East,2023-02-20,315.3,30,75.1
CUS-0260,Basic,West,2023-02-06,339.83,36,16.6
CUS-0261,Standard,West,2024-05-05,510.79,7,34.7
CUS-0262,Basic,West,2024-06-29,1514.66,28,52.9
CUS-0263,Basic,North,2023-07-21,2629.37,23,65.8
CUS-0264,Standard,East,2023-04-25,2188.79,35,7.6
CUS-0265,Premium,East,2023-06-29,163.26,8,9.5
CUS-0266,Premium,South,2023-10-17,285.61,14,71.8
CUS-0267,Standard,North,2023-01-08,1201.97,25,36.6
CUS-0268,Premium,West,2023-03-21,2144.48,34,16.6
CUS-0269,Premium,South,2023-01-21,278.63,33,26.3
CUS-0270,Standard,North,2024-03-01,784.42,19,59.8
CUS-0271,Standard,South,2023-09-24,240.17,15,95.3
CUS-0272,Standard,North,2024-08-21,853.07,8,73.2
CUS-0273,Premium,North,2023-09-24,372.75,16,79.7
CUS-0274,Standard,South,2023-07-01,784.17,39,60.8
CUS-0275,Standard,South,2023-07-03,223.49,9,37.1
CUS-0276,Standard,North,2024-07-08,152.86,37,96.2
CUS-0277,Basic,North,2023-04-23,10812.45,11,8.1
CUS-0278,Premium,East,2024-03-13,707.97,5,80.9
CUS-0279,Standard,South,2024-06-11,4542.53,28,25.8
CUS-0280,Premium,East,2024-08-02,2586.72,18,60.8
CUS-0281,Premium,East,2023-02-20,152.62,29,98.2
CUS-0282,Standard,West,2024-02-08,921.13,39,84.2
CUS-0283,Standard,East,2024-05-01,207.47,6,85.0
CUS-0284,Standard,East,2024-02-14,509.5,22,82.3
CUS-0285,Basic,West,2024-05-19,121.95,11,45.4
CUS-0286,Basic,West,2024-07-20,161.29,20,39.3
CUS-0287,Premium,East,2024-06-12,308.18,10,51.9
CUS-0288,Standard,South,2024-03-12,407.01,8,28.5
CUS-0289,Standard,East,2023-04-27,688.8,21,47.8
CUS-0290,Standard,East,2024-05-23,261.76,17,12.7
CUS-0291,Standard,South,2024-02-15,760.81,30,89.3
CUS-0292,Basic,North,2023-06-20,1848.61,20,73.6
CUS-0293,Standard,West,2024-01-23,851.08,24,6.2
CUS-0294,Basic,West,2023-04-12,626.04,28,66.0
CUS-0295,Standard,South,2024-05-15,904.58,3,75.9
CUS-0296,Basic,East,2024-01-20,182.82,18,86.2
CUS-0297,Standard,North,2024-01-22,1566.82,21,32.9
CUS-0298,Premium,East,2023-06-01,226.36,25,63.1
CUS-0299,Standard,East,2023-04-01,2688.33,2,27.6
CUS-0300,Standard,East,2023-09-15,1330.99,4,84.9
