Order ID,Region,Category,Date,Revenue,Cost,Discount,Units Sold,Profit
ORD-000099,West,Electronics,2024-01-23,499.91,312.38,0.22,2,187.53
ORD-000100,West,Furniture,2024-01-15,1068.89,815.23,0.32,5,253.66
ORD-000101,West,Furniture,2024-01-15,655.71,436.35,0.29,4,219.36
ORD-000102,West,Furniture,2024-01-04,194.97,147.23,0.02,1,47.74
ORD-000103,West,Electronics,2024-01-10,636.0,385.83,0.26,3,250.17
ORD-000104,West,Electronics,2024-01-24,551.61,339.63,0.05,3,211.98
ORD-000105,West,Clothing,2024-01-04,168.16,111.15,0.35,4,57.01
ORD-000106,West,Clothing,2024-01-09,190.33,118.82,0.14,3,71.51
ORD-000107,West,Clothing,2024-01-01,131.95,78.92,0.06,2,53.03
ORD-000108,West,Electronics,2024-01-24,802.48,516.94,0.29,3,285.54
ORD-000109,West,Groceries,2024-01-04,165.69,119.08,0.03,4,46.61
ORD-000110,West,Clothing,2024-01-13,72.39,39.37,0.06,1,33.02
ORD-000111,West,Groceries,2024-01-02,145.02,101.6,0.17,5,43.42
ORD-000112,West,Furniture,2024-01-14,655.15,428.09,0.3,4,227.06
ORD-000113,West,Clothing,2024-01-19,174.61,110.46,0.02,3,64.15
ORD-000114,West,Furniture,2024-01-16,779.59,589.03,0.17,4,190.56
ORD-000115,West,Clothing,2024-01-24,237.5,155.3,0.21,4,82.2
ORD-000116,West,Groceries,2024-01-10,62.92,45.29,0.32,2,17.63
ORD-000117,West,Clothing,2024-01-05,133.69,73.5,0.01,2,60.19
ORD-000118,West,Groceries,2024-01-13,143.19,108.21,0.0,4,34.98
ORD-000119,West,Electronics,2024-01-20,225.07,159.84,0.22,1,65.23
ORD-000120,West,Furniture,2024-01-22,940.12,690.54,0.34,5,249.58
ORD-000121,West,Clothing,2024-01-25,196.11,123.2,0.15,3,72.91
ORD-000122,West,Furniture,2024-01-19,1091.96,851.05,0.1,5,240.91
ORD-000123,West,Clothing,2024-01-21,285.12,153.95,0.01,5,131.17
ORD-000124,West,Clothing,2024-01-14,330.73,194.94,0.34,5,135.79
ORD-000125,West,Furniture,2024-01-23,209.74,148.17,0.28,1,61.57
ORD-000126,West,Groceries,2024-01-24,110.8,79.23,0.02,3,31.57
ORD-000127,West,Electronics,2024-01-19,927.24,628.6,0.3,5,298.64
ORD-000128,West,Clothing,2024-01-23,123.53,68.68,0.22,2,54.85
ORD-000129,West,Groceries,2024-01-01,108.44,83.49,0.01,3,24.95
ORD-000130,West,Furniture,2024-01-26,847.9,553.17,0.3,4,294.73
ORD-000131,West,Furniture,2024-01-24,685.82,488.55,0.14,4,197.27
ORD-000132,West,Electronics,2024-01-25,577.46,329.81,0.12,3,247.65
ORD-000133,West,Clothing,2024-01-23,230.28,130.1,0.14,3,100.18
ORD-000134,West,Electronics,2024-01-17,178.74,110.61,0.32,1,68.13
ORD-000135,West,Furniture,2024-01-04,439.77,274.16,0.07,2,165.61
ORD-000136,West,Electronics,2024-01-13,449.47,274.72,0.15,2,174.75
ORD-000137,West,Groceries,2024-01-22,157.04,109.81,0.31,5,47.23
ORD-000138,West,Electronics,2024-01-10,699.31,447.61,0.26,3,251.7
ORD-000139,West,Furniture,2024-01-19,660.89,431.58,0.11,4,229.31
ORD-000140,West,Electronics,2024-01-25,460.81,297.24,0.28,2,163.57
ORD-000141,West,Clothing,2024-01-13,258.69,172.35,0.24,4,86.34
ORD-000142,West,Clothing,2024-01-26,227.78,125.02,0.2,4,102.76
ORD-000143,West,Electronics,2024-01-19,627.2,399.82,0.15,3,227.38
ORD-000144,West,Electronics,2024-01-27,996.11,562.17,0.09,5,433.94
ORD-000145,West,Electronics,2024-01-13,1073.77,651.19,0.02,5,422.58
ORD-000146,North,Furniture,2024-01-02,640.43,414.48,0.11,4,225.95
ORD-000147,North,Furniture,2024-01-12,359.41,226.81,0.3,2,132.6
ORD-000148,North,Electronics,2024-01-15,190.13,115.91,0.15,1,74.22
ORD-000149,North,Clothing,2024-01-24,177.93,101.2,0.08,3,76.73
ORD-000150,North,Furniture,2024-01-20,1072.49,716.66,0.33,5,355.83
ORD-000151,North,Electronics,2024-01-13,696.44,404.85,0.02,3,291.59
ORD-000152,North,Electronics,2024-01-26,224.21,131.65,0.01,1,92.56
ORD-000153,North,Electronics,2024-01-18,992.41,641.32,0.21,4,351.09
ORD-000154,North,Groceries,2024-01-01,117.41,89.17,0.06,3,28.24
ORD-000155,North,Clothing,2024-01-24,300.41,196.84,0.16,5,103.57
ORD-000156,North,Clothing,2024-01-28,343.82,220.01,0.11,5,123.81
ORD-000157,North,Clothing,2024-01-17,69.71,40.57,0.11,1,29.14
ORD-000158,North,Electronics,2024-01-01,888.05,498.15,0.06,5,389.9
ORD-000159,North,Clothing,2024-01-20,369.17,209.68,0.31,5,159.49
ORD-000160,North,Furniture,2024-01-04,368.87,269.21,0.06,2,99.66
ORD-000161,North,Furniture,2024-01-28,178.9,109.99,0.35,1,68.91
ORD-000162,North,Furniture,2024-01-04,370.91,282.51,0.19,2,88.4
ORD-000163,North,Clothing,2024-01-08,54.86,33.37,0.1,1,21.49
ORD-000164,North,Clothing,2024-01-24,295.62,179.85,0.08,5,115.77
ORD-000165,North,Groceries,2024-01-08,158.12,118.22,0.14,5,39.9
ORD-000166,North,Clothing,2024-01-21,205.4,129.81,0.34,3,75.59
ORD-000167,North,Furniture,2024-01-15,878.44,656.48,0.18,5,221.96
ORD-000168,North,Furniture,2024-01-03,934.27,634.51,0.24,5,299.76
ORD-000169,North,Electronics,2024-01-27,415.31,244.59,0.3,2,170.72
ORD-000170,North,Groceries,2024-01-06,54.3,42.36,0.31,2,11.94
ORD-000171,North,Furniture,2024-01-15,624.7,459.96,0.27,3,164.74
ORD-000172,North,Furniture,2024-01-03,515.94,391.67,0.28,3,124.27
ORD-000173,North,Electronics,2024-01-06,274.27,154.03,0.34,1,120.24
ORD-000174,North,Furniture,2024-01-21,889.98,604.37,0.11,5,285.61
ORD-000175,North,Clothing,2024-01-17,165.35,100.74,0.33,3,64.61
ORD-000176,North,Furniture,2024-01-06,180.67,122.67,0.05,1,58.0
ORD-000177,North,Electronics,2024-01-20,348.74,246.21,0.09,2,102.53
ORD-000178,North,Electronics,2024-01-22,666.68,400.75,0.07,3,265.93
ORD-000179,North,Electronics,2024-01-15,615.27,368.06,0.02,3,247.21
ORD-000180,North,Furniture,2024-01-27,181.37,126.28,0.04,1,55.09
ORD-000181,North,Electronics,2024-01-09,217.29,150.78,0.32,1,66.51
ORD-000182,North,Groceries,2024-01-28,121.63,80.39,0.05,4,41.24
ORD-000183,North,Electronics,2024-01-16,325.89,224.57,0.22,2,101.32
ORD-000184,North,Furniture,2024-01-05,542.51,346.8,0.3,3,195.71
ORD-000185,North,Furniture,2024-01-21,571.94,386.12,0.14,3,185.82
ORD-000186,North,Clothing,2024-01-22,72.6,47.81,0.04,1,24.79
ORD-000187,North,Groceries,2024-01-03,141.18,113.0,0.06,4,28.18
ORD-000188,North,Furniture,2024-01-13,167.05,122.4,0.3,1,44.65
ORD-000189,North,Groceries,2024-01-10,149.18,103.34,0.09,4,45.84
ORD-000190,North,Electronics,2024-01-27,223.17,151.42,0.18,1,71.75
ORD-000191,South,Furniture,2024-01-16,350.1,222.1,0.04,2,128.0
ORD-000192,South,Groceries,2024-01-14,42.65,28.89,0.19,1,13.76
ORD-000193,South,Electronics,2024-01-08,246.28,141.97,0.32,1,104.31
ORD-000194,South,Electronics,2024-01-18,1270.42,787.75,0.19,5,482.67
ORD-000195,South,Electronics,2024-01-28,1151.72,775.05,0.16,5,376.67
ORD-000196,South,Electronics,2024-01-26,956.78,541.31,0.12,5,415.47
ORD-000197,South,Clothing,2024-01-18,239.94,152.86,0.07,4,87.08
ORD-000198,South,Groceries,2024-01-13,103.63,67.2,0.35,3,36.43
ORD-000199,South,Electronics,2024-01-02,1229.04,710.38,0.05,5,518.66
ORD-000200,South,Clothing,2024-01-12,193.83,110.15,0.25,3,83.68
ORD-000201,South,Furniture,2024-01-19,303.71,210.28,0.33,2,93.43
ORD-000202,South,Furniture,2024-01-05,589.83,445.81,0.01,3,144.02
ORD-000203,South,Furniture,2024-01-25,347.16,251.41,0.11,2,95.75
ORD-000204,South,Groceries,2024-01-11,163.93,118.12,0.2,4,45.81
ORD-000205,South,Clothing,2024-01-15,182.85,106.56,0.23,3,76.29
ORD-000206,South,Furniture,2024-01-12,776.91,492.08,0.03,4,284.83
ORD-000207,South,Clothing,2024-01-19,65.7,34.48,0.11,1,31.22
ORD-000208,South,Electronics,2024-01-22,180.37,107.54,0.23,1,72.83
ORD-000209,South,Electronics,2024-01-08,1056.42,635.91,0.24,5,420.51
ORD-000210,South,Groceries,2024-01-06,150.74,116.71,0.33,4,34.03
ORD-000211,South,Clothing,2024-01-08,239.87,136.36,0.34,4,103.51
ORD-000212,South,Furniture,2024-01-20,572.37,389.22,0.31,3,183.15
ORD-000213,South,Clothing,2024-01-13,132.18,85.37,0.11,2,46.81
ORD-000214,South,Furniture,2024-01-14,728.86,487.46,0.09,4,241.4
ORD-000215,South,Groceries,2024-01-26,156.04,128.59,0.26,5,27.45
ORD-000216,South,Clothing,2024-01-22,160.92,94.65,0.08,2,66.27
ORD-000217,South,Clothing,2024-01-09,243.43,147.75,0.14,4,95.68
ORD-000218,South,Electronics,2024-01-23,1008.07,588.71,0.0,4,419.36
ORD-000219,South,Electronics,2024-01-23,784.98,454.85,0.27,3,330.13
ORD-000220,South,Electronics,2024-01-11,181.72,106.82,0.05,1,74.9
ORD-000221,South,Furniture,2024-01-18,503.3,391.94,0.02,3,111.36
ORD-000222,South,Electronics,2024-01-23,664.92,462.22,0.23,3,202.7
ORD-000223,South,Electronics,2024-01-24,951.76,593.56,0.19,4,358.2
ORD-000224,South,Furniture,2024-01-20,367.88,287.18,0.35,2,80.7
ORD-000225,South,Furniture,2024-01-03,191.01,148.61,0.11,1,42.4
ORD-000226,South,Furniture,2024-01-12,193.4,140.46,0.12,1,52.94
ORD-000227,South,Clothing,2024-01-24,218.17,127.07,0.11,4,91.1
ORD-000228,South,Clothing,2024-01-23,209.01,136.17,0.05,4,72.84
ORD-000229,South,Groceries,2024-01-03,167.58,124.69,0.02,5,42.89
ORD-000230,South,Electronics,2024-01-01,402.14,272.68,0.01,2,129.46
ORD-000231,South,Clothing,2024-01-24,237.18,128.86,0.3,4,108.32
ORD-000232,East,Furniture,2024-02-23,637.39,432.83,0.26,3,204.56
ORD-000233,East,Electronics,2024-02-22,435.34,293.55,0.16,2,141.79
ORD-000234,East,Furniture,2024-02-07,505.93,374.26,0.04,3,131.67
ORD-000235,East,Electronics,2024-02-05,497.23,340.89,0.14,2,156.34
ORD-000236,East,Groceries,2024-02-04,163.6,119.23,0.14,5,44.37
ORD-000237,East,Groceries,2024-02-28,130.41,89.02,0.08,5,41.39
ORD-000238,East,Clothing,2024-02-09,250.36,151.25,0.19,5,99.11
ORD-000239,East,Groceries,2024-02-20,66.63,43.77,0.21,2,22.86
ORD-000240,East,Furniture,2024-02-08,638.75,473.21,0.29,4,165.54
ORD-000241,East,Furniture,2024-02-11,188.09,131.8,0.11,1,56.29
ORD-000242,East,Furniture,2024-02-19,776.81,475.55,0.07,4,301.26
ORD-000243,East,Groceries,2024-02-19,150.69,121.79,0.16,4,28.9
ORD-000244,East,Furniture,2024-02-27,984.77,638.7,0.21,5,346.07
ORD-000245,East,Electronics,2024-02-20,525.82,301.49,0.07,2,224.33
ORD-000246,East,Furniture,2024-02-05,533.41,404.46,0.11,3,128.95
ORD-000247,East,Furniture,2024-02-02,473.38,311.02,0.21,2,162.36
ORD-000248,East,Electronics,2024-02-25,1009.73,579.05,0.04,5,430.68
ORD-000249,East,Electronics,2024-02-18,571.8,394.61,0.26,3,177.19
ORD-000250,East,Clothing,2024-02-15,263.63,139.3,0.14,4,124.33
ORD-000251,East,Electronics,2024-02-27,705.84,482.06,0.06,3,223.78
ORD-000252,East,Groceries,2024-02-14,70.73,50.89,0.2,2,19.84
ORD-000253,East,Electronics,2024-02-09,947.76,544.02,0.3,4,403.74
ORD-000254,East,Furniture,2024-02-11,506.67,347.25,0.22,3,159.42
ORD-000255,East,Groceries,2024-02-27,171.43,121.25,0.16,5,50.18
ORD-000256,East,Furniture,2024-02-13,373.28,263.63,0.11,2,109.65
ORD-000257,East,Furniture,2024-02-11,221.79,142.0,0.25,1,79.79
ORD-000258,East,Furniture,2024-02-07,852.98,631.58,0.09,5,221.4
ORD-000259,East,Groceries,2024-02-26,189.2,145.38,0.02,5,43.82
ORD-000260,East,Groceries,2024-02-11,183.01,137.66,0.0,5,45.35
ORD-000261,East,Electronics,2024-02-20,1149.07,645.91,0.26,5,503.16
ORD-000262,East,Groceries,2024-02-14,77.01,49.98,0.28,2,27.03
ORD-000263,East,Electronics,2024-02-25,1398.96,903.15,0.09,5,495.81
ORD-000264,East,Electronics,2024-02-22,511.19,327.75,0.34,3,183.44
ORD-000265,East,Groceries,2024-02-24,121.84,91.99,0.31,4,29.85
ORD-000266,East,Furniture,2024-02-03,193.77,134.46,0.2,1,59.31
ORD-000267,East,Groceries,2024-02-18,162.32,115.99,0.15,4,46.33
ORD-000268,East,Electronics,2024-02-23,1014.4,610.75,0.11,5,403.65
ORD-000269,East,Groceries,2024-02-01,36.62,26.79,0.24,1,9.83
ORD-000270,East,Electronics,2024-02-19,877.65,573.9,0.01,4,303.75
ORD-000271,East,Furniture,2024-02-15,743.77,472.84,0.07,5,270.93
ORD-000272,East,Furniture,2024-02-03,199.96,136.14,0.28,1,63.82
ORD-000273,East,Groceries,2024-02-03,75.75,60.97,0.22,2,14.78
ORD-000274,East,Furniture,2024-02-13,189.74,133.36,0.35,1,56.38
ORD-000275,East,Groceries,2024-02-02,128.22,90.05,0.32,4,38.17
ORD-000276,East,Electronics,2024-02-27,376.81,217.12,0.02,2,159.69
ORD-000277,East,Groceries,2024-02-05,167.28,135.97,0.2,5,31.31
ORD-000278,East,Furniture,2024-02-13,803.69,624.22,0.11,4,179.47
ORD-000279,East,Electronics,2024-02-09,576.51,330.12,0.3,3,246.39
ORD-000280,East,Clothing,2024-02-24,198.83,128.07,0.33,3,70.76
ORD-000281,East,Electronics,2024-02-23,1175.91,755.22,0.31,5,420.69
ORD-000282,East,Groceries,2024-02-20,74.43,54.35,0.14,3,20.08
ORD-000283,East,Furniture,2024-02-11,209.1,130.72,0.27,1,78.38
ORD-000284,East,Furniture,2024-02-27,214.92,132.82,0.06,1,82.1
ORD-000285,East,Electronics,2024-02-28,473.0,301.75,0.33,2,171.25
ORD-000286,East,Groceries,2024-02-07,33.67,22.75,0.02,1,10.92
ORD-000287,East,Electronics,2024-02-16,226.86,145.48,0.22,1,81.38
ORD-000288,East,Electronics,2024-02-23,862.48,596.79,0.33,3,265.69
ORD-000289,East,Furniture,2024-02-03,235.21,161.46,0.33,1,73.75
ORD-000290,East,Furniture,2024-02-22,351.07,225.77,0.11,2,125.3
ORD-000291,East,Clothing,2024-02-19,66.24,36.77,0.25,1,29.47
ORD-000292,East,Electronics,2024-02-27,787.17,452.33,0.17,4,334.84
ORD-000293,East,Furniture,2024-02-15,170.74,133.37,0.17,1,37.37
ORD-000294,East,Furniture,2024-02-12,939.8,669.89,0.08,5,269.91
ORD-000295,East,Clothing,2024-02-02,317.26,187.19,0.31,4,130.07
ORD-000296,East,Furniture,2024-02-02,765.43,552.79,0.27,4,212.64
ORD-000297,East,Furniture,2024-02-18,711.6,511.84,0.12,3,199.76
ORD-000298,East,Clothing,2024-02-19,220.01,126.68,0.15,4,93.33
ORD-000299,East,Clothing,2024-02-15,102.83,60.53,0.08,2,42.3
ORD-000300,East,Clothing,2024-02-04,137.35,84.18,0.26,2,53.17
ORD-000301,East,Groceries,2024-02-08,180.04,147.65,0.05,4,32.39
ORD-000302,East,Electronics,2024-02-09,470.77,327.11,0.27,2,143.66
ORD-000303,East,Clothing,2024-02-05,333.34,197.13,0.05,5,136.21
ORD-000304,East,Electronics,2024-02-09,438.8,282.27,0.25,2,156.53
ORD-000305,East,Electronics,2024-02-14,686.07,462.37,0.29,3,223.7
ORD-000306,West,Groceries,2024-02-07,82.07,55.79,0.16,2,26.28
ORD-000307,West,Furniture,2024-02-07,716.28,476.58,0.1,4,239.7
ORD-000308,West,Electronics,2024-02-13,244.96,150.71,0.08,1,94.25
ORD-000309,West,Clothing,2024-02-27,70.23,43.21,0.3,1,27.02
ORD-000310,West,Groceries,2024-02-18,102.09,82.85,0.28,3,19.24
ORD-000311,West,Furniture,2024-02-03,705.43,488.95,0.17,4,216.48
ORD-000312,West,Furniture,2024-02-16,607.5,458.19,0.04,3,149.31
ORD-000313,West,Electronics,2024-02-23,179.67,127.96,0.31,1,51.71
ORD-000314,West,Groceries,2024-02-09,36.01,25.07,0.21,1,10.94
ORD-000315,West,Groceries,2024-02-10,95.35,66.87,0.06,3,28.48
ORD-000316,West,Electronics,2024-02-02,820.67,509.18,0.29,4,311.49
ORD-000317,West,Clothing,2024-02-06,263.28,168.43,0.09,4,94.85
ORD-000318,West,Groceries,2024-02-04,126.93,100.86,0.08,4,26.07
ORD-000319,West,Electronics,2024-02-28,448.64,280.24,0.15,2,168.4
ORD-000320,West,Electronics,2024-02-22,916.81,565.34,0.29,4,351.47
ORD-000321,West,Electronics,2024-02-01,995.63,708.97,0.01,4,286.66
ORD-000322,West,Electronics,2024-02-15,1175.08,671.91,0.14,5,503.17
ORD-000323,West,Clothing,2024-02-11,67.19,36.98,0.14,1,30.21
ORD-000324,West,Furniture,2024-02-25,705.14,514.31,0.34,4,190.83
ORD-000325,West,Furniture,2024-02-12,740.91,484.41,0.26,4,256.5
ORD-000326,West,Clothing,2024-02-03,349.16,192.42,0.06,5,156.74
ORD-000327,West,Furniture,2024-02-09,368.53,282.4,0.28,2,86.13
ORD-000328,West,Electronics,2024-02-08,875.52,506.87,0.33,4,368.65
ORD-000329,West,Furniture,2024-02-07,727.17,494.38,0.01,5,232.79
ORD-000330,West,Electronics,2024-02-18,964.24,569.57,0.32,4,394.67
ORD-000331,West,Groceries,2024-02-24,84.72,55.67,0.3,2,29.05
ORD-000332,West,Electronics,2024-02-18,223.89,129.38,0.27,1,94.51
ORD-000333,West,Groceries,2024-02-21,39.34,31.7,0.18,1,7.64
ORD-000334,West,Clothing,2024-02-23,44.91,24.21,0.08,1,20.7
ORD-000335,West,Furniture,2024-02-15,828.48,562.68,0.28,4,265.8
ORD-000336,West,Groceries,2024-02-07,149.31,114.97,0.18,4,34.34
ORD-000337,West,Electronics,2024-02-23,356.24,238.64,0.32,2,117.6
ORD-000338,West,Groceries,2024-02-10,69.14,50.7,0.35,2,18.44
ORD-000339,West,Electronics,2024-02-12,660.16,397.43,0.28,3,262.73
ORD-000340,West,Furniture,2024-02-28,731.77,485.33,0.27,4,246.44
ORD-000341,West,Electronics,2024-02-17,459.67,315.6,0.01,2,144.07
ORD-000342,West,Electronics,2024-02-20,1031.25,654.66,0.02,5,376.59
ORD-000343,West,Furniture,2024-02-25,927.18,629.92,0.33,5,297.26
ORD-000344,West,Electronics,2024-02-21,431.88,299.0,0.26,2,132.88
ORD-000345,West,Groceries,2024-02-07,73.53,57.96,0.09,2,15.57
ORD-000346,West,Electronics,2024-02-01,576.45,385.1,0.22,3,191.35
ORD-000347,West,Clothing,2024-02-15,376.96,221.34,0.22,5,155.62
ORD-000348,West,Electronics,2024-02-25,205.19,125.61,0.2,1,79.58
ORD-000349,West,Electronics,2024-02-28,446.74,313.12,0.12,2,133.62
ORD-000350,West,Electronics,2024-02-06,498.92,287.69,0.02,2,211.23
ORD-000351,West,Groceries,2024-02-03,35.41,28.22,0.2,1,7.19
ORD-000352,West,Clothing,2024-02-18,59.35,36.48,0.18,1,22.87
ORD-000353,West,Clothing,2024-02-13,200.88,118.48,0.06,3,82.4
ORD-000354,West,Clothing,2024-02-08,229.06,127.75,0.29,4,101.31
ORD-000355,West,Electronics,2024-02-20,1002.35,571.39,0.27,5,430.96
ORD-000356,West,Electronics,2024-02-07,801.9,560.54,0.1,4,241.36
